0,182, 218, 255
25,255,181,108
40,255,236,182
51,255,162,71
85,255,145,36
95,255,36,36
110,255,208,71
129,255,117,71
148,255,181,108
316,181,255,108
360,36,255,145
371,71,255,208
470,255,208,71
547,226,255,145
995,223,255,250
1018,123,121,255
1163,71,255,162
1361,255,181,108
1575,145,200,255
1659,145,173,255
1868,0,63,255
2121,255,193,61
2249,255,98,0
2313,255,170,87
2398,255,198,2
2435,46,206,255
2483,182,218,255
2549,108,145,255
2700,218,182,255
2736,71,162,255
2747,255,226,145
2892,8,255,210
3083,255,160,95
3209,255,236,182
3264,255,208,95
3385,255,218,108
3528,217,255,244
3722,255,218,108
3796,36,255,145
4012,71,208,255
4188,217,235,255
4243,36,200,255
4254,71,208,255
4496,255,208,71
4991,255,36,36
5035,255,126,0
5145,255,226,145
