0,36,36,255
48,255,126,0
85,109,145,255
185,255,236,181
290,255,226,217
448,255,226,145
558,217,245,255
1067,255,217,109
1121,217,236,255
1322,0,0,255
1445,217,236,255
1547,255,162,72
1685,109,181,255
1741,255,217,217
1796,255,190,0
1849,109,145,255
1865,255,181,109
1951,145,200,255
2055,255,217,236
2089,217,245,255
2755,217,255,181
2793,217,245,255
2876,109,145,255
2886,217,236,255
2886,217,236,255
3044,255,181,109
3086,218,244,255
3315,72,162,255
3404,218,255,244
3749,109,144,255
3821,218,255,255
3904,255,181,109
3983,218,236,255
4370,255,199,144
4389,218,236,255
4528,72,118,255
4565,255,255,218
4698,144,144,255
4805,218,255,218
4883,218,236,255
4956,255,255,181
5047,126,0,255
5107,255,145,36
